instance,family,n,m,solver,seed,time_limit,size,seconds,verified,note
del16,geometric,65536,196583,cascade,1,60.0,20648,60.046,1,maximal=yes
del16,geometric,65536,196583,cascade-nolns,1,60.0,20369,60.050,1,maximal=yes
del16,geometric,65536,196583,cascade-nopert,1,60.0,20656,60.046,1,maximal=yes
del16,geometric,65536,196583,cascade-nolp,1,60.0,20652,60.057,1,maximal=yes
del16,geometric,65536,196583,cascade-dive,1,60.0,20383,60.068,1,maximal=yes
del18,geometric,262144,786401,cascade,1,60.0,82661,60.231,1,maximal=yes
del18,geometric,262144,786401,cascade-nolns,1,60.0,81639,60.186,1,maximal=yes
del18,geometric,262144,786401,cascade-nopert,1,60.0,82657,60.218,1,maximal=yes
del18,geometric,262144,786401,cascade-nolp,1,60.0,82666,60.210,1,maximal=yes
del18,geometric,262144,786401,cascade-dive,1,60.0,81639,60.255,1,maximal=yes
rgg16,geometric,65501,260438,cascade,1,60.0,16086,60.061,1,maximal=yes
rgg16,geometric,65501,260438,cascade-nolns,1,60.0,16085,60.065,1,maximal=yes
rgg16,geometric,65501,260438,cascade-nopert,1,60.0,16086,60.062,1,maximal=yes
rgg16,geometric,65501,260438,cascade-nolp,1,60.0,16086,60.052,1,maximal=yes
rgg16,geometric,65501,260438,cascade-dive,1,60.0,16086,60.058,1,maximal=yes
web-Stanford,web,281903,1992636,cascade,1,60.0,163375,60.619,1,maximal=yes
web-Stanford,web,281903,1992636,cascade-nolns,1,60.0,163369,60.530,1,maximal=yes
web-Stanford,web,281903,1992636,cascade-nopert,1,60.0,163375,60.532,1,maximal=yes
web-Stanford,web,281903,1992636,cascade-nolp,1,60.0,163373,60.603,1,maximal=yes
web-Stanford,web,281903,1992636,cascade-dive,1,60.0,163369,60.517,1,maximal=yes
roadNet-PA,road,1088092,1541898,cascade,1,60.0,533627,60.609,1,maximal=yes
roadNet-PA,road,1088092,1541898,cascade-nolns,1,60.0,533385,60.675,1,maximal=yes
roadNet-PA,road,1088092,1541898,cascade-nopert,1,60.0,533627,60.582,1,maximal=yes
roadNet-PA,road,1088092,1541898,cascade-nolp,1,60.0,533627,60.685,1,maximal=yes
roadNet-PA,road,1088092,1541898,cascade-dive,1,60.0,533385,60.650,1,maximal=yes
frb40-19-1,bhoslib,760,41314,cascade,1,60.0,40,60.011,1,maximal=yes
frb40-19-1,bhoslib,760,41314,cascade-nolns,1,60.0,27,60.008,1,maximal=yes
frb40-19-1,bhoslib,760,41314,cascade-nopert,1,60.0,38,60.009,1,maximal=yes
frb40-19-1,bhoslib,760,41314,cascade-nolp,1,60.0,40,60.008,1,maximal=yes
frb40-19-1,bhoslib,760,41314,cascade-dive,1,60.0,34,60.009,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,cascade,1,60.0,56,60.021,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,cascade-nolns,1,60.0,42,60.015,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,cascade-nopert,1,60.0,56,60.018,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,cascade-nolp,1,60.0,57,60.019,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,cascade-dive,1,60.0,49,60.019,1,maximal=yes
