instance,family,n,m,solver,seed,time_limit,size,seconds,verified,note
del20,geometric,1048576,3145692,cascade,1,600.0,330533,601.119,1,maximal=yes
del20,geometric,1048576,3145692,redumis,1,600.0,328983,602.049,1,maximal=yes
del20,geometric,1048576,3145692,numvc,1,600.0,317648,670.601,1,maximal=yes
del20,geometric,1048576,3145692,fastvc,1,600.0,330192,604.044,1,maximal=yes
roadNet-CA,road,1965206,2766607,cascade,1,600.0,961851,603.379,1,maximal=yes
roadNet-CA,road,1965206,2766607,redumis,1,600.0,961851,69.099,1,maximal=yes
roadNet-CA,road,1965206,2766607,numvc,1,600.0,915773,1003.279,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,numvc,1,600.0,59,600.190,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,redumis,1,600.0,57,327.867,1,maximal=yes
web-BerkStan,web,685230,6649470,numvc,1,600.0,406663,649.912,1,maximal=yes
web-BerkStan,web,685230,6649470,cascade,1,600.0,408380,601.760,1,maximal=yes
