instance,family,n,m,solver,seed,time_limit,size,seconds,verified,note
as-skitter,social,1696415,11095298,cascade,1,60.0,1170576,64.476,1,maximal=yes
as-skitter,social,1696415,11095298,redumis,1,60.0,1170580,64.699,1,maximal=yes
as-skitter,social,1696415,11095298,online_mis,1,60.0,1152300,6.334,1,maximal=yes
as-skitter,social,1696415,11095298,numvc,1,60.0,1168352,266.239,1,maximal=yes
as-skitter,social,1696415,11095298,fastvc,1,60.0,1168417,61.925,1,maximal=yes
as-skitter,social,1696415,11095298,nearlinear,1,60.0,1170541,0.655,0,kernel=9733
as-skitter,social,1696415,11095298,lineartime,1,60.0,1170410,0.540,0,kernel=235815
ca-AstroPh,social,18772,198050,cascade,1,60.0,6760,0.113,1,maximal=yes
ca-AstroPh,social,18772,198050,redumis,1,60.0,6760,0.163,1,maximal=yes
ca-AstroPh,social,18772,198050,online_mis,1,60.0,6760,60.057,1,maximal=yes
ca-AstroPh,social,18772,198050,numvc,1,60.0,6760,61.323,1,maximal=yes
ca-AstroPh,social,18772,198050,fastvc,1,60.0,6760,60.028,1,maximal=yes
ca-AstroPh,social,18772,198050,nearlinear,1,60.0,6760,0.010,0,kernel=0
ca-AstroPh,social,18772,198050,lineartime,1,60.0,6759,0.023,0,kernel=7843
ca-CondMat,social,23133,93439,cascade,1,60.0,9612,0.064,1,maximal=yes
ca-CondMat,social,23133,93439,redumis,1,60.0,9612,0.091,1,maximal=yes
ca-CondMat,social,23133,93439,online_mis,1,60.0,9601,0.049,1,maximal=yes
ca-CondMat,social,23133,93439,numvc,1,60.0,9611,60.503,1,maximal=yes
ca-CondMat,social,23133,93439,fastvc,1,60.0,9612,60.017,1,maximal=yes
ca-CondMat,social,23133,93439,nearlinear,1,60.0,9612,0.014,0,kernel=0
ca-CondMat,social,23133,93439,lineartime,1,60.0,9611,0.007,0,kernel=6233
com-amazon,social,334863,925872,cascade,1,60.0,174632,60.288,1,maximal=yes
com-amazon,social,334863,925872,redumis,1,60.0,174632,10.055,1,maximal=yes
com-amazon,social,334863,925872,online_mis,1,60.0,172685,0.590,1,maximal=yes
com-amazon,social,334863,925872,numvc,1,60.0,174510,114.124,1,maximal=yes
com-amazon,social,334863,925872,fastvc,1,60.0,174605,60.170,1,maximal=yes
com-amazon,social,334863,925872,nearlinear,1,60.0,174627,0.092,0,kernel=952
com-amazon,social,334863,925872,lineartime,1,60.0,174612,0.082,0,kernel=44688
com-dblp,social,317080,1049866,cascade,1,60.0,152131,0.425,1,maximal=yes
com-dblp,social,317080,1049866,redumis,1,60.0,152131,0.593,1,maximal=yes
com-dblp,social,317080,1049866,online_mis,1,60.0,152061,0.576,1,maximal=yes
com-dblp,social,317080,1049866,numvc,1,60.0,152112,85.915,1,maximal=yes
com-dblp,social,317080,1049866,fastvc,1,60.0,152131,60.184,1,maximal=yes
com-dblp,social,317080,1049866,nearlinear,1,60.0,152131,0.086,0,kernel=0
com-dblp,social,317080,1049866,lineartime,1,60.0,152129,0.083,0,kernel=49462
com-lj,social,3997962,34681189,cascade,1,60.0,2085626,74.952,1,maximal=yes
com-lj,social,3997962,34681189,redumis,1,60.0,2085626,68.811,1,maximal=yes
com-lj,social,3997962,34681189,online_mis,1,60.0,2066610,16.854,1,maximal=yes
com-lj,social,3997962,34681189,numvc,1,60.0,,960.049,0,TIMEOUT
com-lj,social,3997962,34681189,fastvc,1,60.0,2085169,67.463,1,maximal=yes
com-lj,social,3997962,34681189,nearlinear,1,60.0,2085604,2.241,0,kernel=9780
com-lj,social,3997962,34681189,lineartime,1,60.0,2085353,2.490,0,kernel=319540
com-youtube,social,1134890,2987624,cascade,1,60.0,857945,1.346,1,maximal=yes
com-youtube,social,1134890,2987624,redumis,1,60.0,857945,1.845,1,maximal=yes
com-youtube,social,1134890,2987624,online_mis,1,60.0,857680,1.743,1,maximal=yes
com-youtube,social,1134890,2987624,numvc,1,60.0,857708,143.205,1,maximal=yes
com-youtube,social,1134890,2987624,fastvc,1,60.0,857945,60.636,1,maximal=yes
com-youtube,social,1134890,2987624,nearlinear,1,60.0,857945,0.223,0,kernel=0
com-youtube,social,1134890,2987624,lineartime,1,60.0,857944,0.199,0,kernel=1182
del16,geometric,65536,196583,cascade,1,60.0,20647,60.057,1,maximal=yes
del16,geometric,65536,196583,redumis,1,60.0,20640,60.179,1,maximal=yes
del16,geometric,65536,196583,online_mis,1,60.0,20630,60.101,1,maximal=yes
del16,geometric,65536,196583,numvc,1,60.0,20180,60.271,1,maximal=yes
del16,geometric,65536,196583,fastvc,1,60.0,20638,60.039,1,maximal=yes
del16,geometric,65536,196583,nearlinear,1,60.0,20284,0.118,0,kernel=61116
del16,geometric,65536,196583,lineartime,1,60.0,20213,0.016,0,kernel=65536
del18,geometric,262144,786401,cascade,1,60.0,82656,60.234,1,maximal=yes
del18,geometric,262144,786401,redumis,1,60.0,82385,60.666,1,maximal=yes
del18,geometric,262144,786401,online_mis,1,60.0,82019,60.384,1,maximal=yes
del18,geometric,262144,786401,numvc,1,60.0,80695,120.682,1,maximal=yes
del18,geometric,262144,786401,fastvc,1,60.0,82579,60.145,1,maximal=yes
del18,geometric,262144,786401,nearlinear,1,60.0,81211,0.689,0,kernel=244245
del18,geometric,262144,786401,lineartime,1,60.0,80881,0.068,0,kernel=262144
del20,geometric,1048576,3145692,cascade,1,60.0,330066,61.091,1,maximal=yes
del20,geometric,1048576,3145692,redumis,1,60.0,321566,258.234,1,maximal=yes
del20,geometric,1048576,3145692,online_mis,1,60.0,311146,61.722,1,maximal=yes
del20,geometric,1048576,3145692,numvc,1,60.0,311421,428.896,1,maximal=yes
del20,geometric,1048576,3145692,fastvc,1,60.0,329802,60.619,1,maximal=yes
del20,geometric,1048576,3145692,nearlinear,1,60.0,324619,4.675,0,kernel=977198
del20,geometric,1048576,3145692,lineartime,1,60.0,323438,0.401,0,kernel=1048573
email-Enron,social,36692,183831,cascade,1,60.0,22255,0.095,1,maximal=yes
email-Enron,social,36692,183831,redumis,1,60.0,22255,0.194,1,maximal=yes
