instance,family,n,m,solver,seed,time_limit,size,seconds,verified,note
ca-AstroPh,social,18772,198050,cascade-exact,1,60.0,6760,0.101,1,maximal=yes proved_optimal
ca-AstroPh,social,18772,198050,vcsolver,1,60.0,6760,0.341,1,exact maximal=yes
ca-AstroPh,social,18772,198050,pace,1,60.0,6760,0.115,1,exact maximal=yes
ca-AstroPh,social,18772,198050,highs,1,60.0,6760,3.968,1,maximal=yes proved_optimal
ca-CondMat,social,23133,93439,cascade-exact,1,60.0,9612,0.046,1,maximal=yes proved_optimal
ca-CondMat,social,23133,93439,vcsolver,1,60.0,9612,0.228,1,exact maximal=yes
ca-CondMat,social,23133,93439,pace,1,60.0,9612,0.064,1,exact maximal=yes
ca-CondMat,social,23133,93439,highs,1,60.0,9612,1.295,1,maximal=yes proved_optimal
del16,geometric,65536,196583,cascade-exact,1,60.0,20474,60.101,1,maximal=no
del16,geometric,65536,196583,vcsolver,1,60.0,,60.065,0,TIMEOUT
del16,geometric,65536,196583,pace,1,60.0,,60.005,0,TIMEOUT
del16,geometric,65536,196583,highs,1,60.0,9679,60.491,1,maximal=no
del18,geometric,262144,786401,cascade-exact,1,60.0,73928,83.174,1,maximal=yes
del18,geometric,262144,786401,vcsolver,1,60.0,,60.066,0,TIMEOUT
del18,geometric,262144,786401,pace,1,60.0,,60.010,0,TIMEOUT
del18,geometric,262144,786401,highs,1,60.0,,360.133,0,missing solution file
email-Enron,social,36692,183831,cascade-exact,1,60.0,22255,0.080,1,maximal=yes proved_optimal
email-Enron,social,36692,183831,vcsolver,1,60.0,22255,0.411,1,exact maximal=yes
email-Enron,social,36692,183831,pace,1,60.0,22255,0.115,1,exact maximal=yes
email-Enron,social,36692,183831,highs,1,60.0,22253,1.979,1,maximal=no proved_optimal
frb30-15-1,bhoslib,450,17827,cascade-exact,1,60.0,25,60.040,1,maximal=yes
frb30-15-1,bhoslib,450,17827,vcsolver,1,60.0,,60.064,0,TIMEOUT
frb30-15-1,bhoslib,450,17827,pace,1,60.0,30,1.822,1,exact maximal=yes
frb30-15-1,bhoslib,450,17827,highs,1,60.0,28,60.135,1,maximal=yes
frb35-17-1,bhoslib,595,27856,cascade-exact,1,60.0,28,60.014,1,maximal=yes
frb35-17-1,bhoslib,595,27856,vcsolver,1,60.0,,60.080,0,TIMEOUT
frb35-17-1,bhoslib,595,27856,pace,1,60.0,35,2.474,1,exact maximal=yes
frb35-17-1,bhoslib,595,27856,highs,1,60.0,30,60.156,1,maximal=yes
frb40-19-1,bhoslib,760,41314,cascade-exact,1,60.0,30,60.027,1,maximal=yes
frb40-19-1,bhoslib,760,41314,vcsolver,1,60.0,,60.066,0,TIMEOUT
frb40-19-1,bhoslib,760,41314,pace,1,60.0,40,3.579,1,exact maximal=yes
frb40-19-1,bhoslib,760,41314,highs,1,60.0,2,60.168,1,maximal=no
frb45-21-1,bhoslib,945,59186,cascade-exact,1,60.0,34,60.058,1,maximal=yes
frb45-21-1,bhoslib,945,59186,vcsolver,1,60.0,,60.077,0,TIMEOUT
frb45-21-1,bhoslib,945,59186,pace,1,60.0,,60.024,0,TIMEOUT
frb45-21-1,bhoslib,945,59186,highs,1,60.0,1,60.165,1,maximal=no
frb50-23-1,bhoslib,1150,80072,cascade-exact,1,60.0,35,60.074,1,maximal=yes
frb50-23-1,bhoslib,1150,80072,vcsolver,1,60.0,,60.078,0,TIMEOUT
frb50-23-1,bhoslib,1150,80072,pace,1,60.0,,60.025,0,TIMEOUT
frb50-23-1,bhoslib,1150,80072,highs,1,60.0,1,60.203,1,maximal=no
frb53-24-1,bhoslib,1272,94227,cascade-exact,1,60.0,37,60.044,1,maximal=yes
frb53-24-1,bhoslib,1272,94227,vcsolver,1,60.0,,60.095,0,TIMEOUT
frb53-24-1,bhoslib,1272,94227,pace,1,60.0,,60.029,0,TIMEOUT
frb53-24-1,bhoslib,1272,94227,highs,1,60.0,1,60.782,1,maximal=no
frb59-26-1,bhoslib,1534,126555,cascade-exact,1,60.0,42,60.100,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,vcsolver,1,60.0,,60.078,0,TIMEOUT
frb59-26-1,bhoslib,1534,126555,pace,1,60.0,,60.028,0,TIMEOUT
frb59-26-1,bhoslib,1534,126555,highs,1,60.0,30,60.283,1,maximal=no
rgg16,geometric,65501,260438,cascade-exact,1,60.0,16086,60.075,1,maximal=yes
rgg16,geometric,65501,260438,vcsolver,1,60.0,16086,0.711,1,exact maximal=yes
rgg16,geometric,65501,260438,pace,1,60.0,16086,0.365,1,exact maximal=yes
rgg16,geometric,65501,260438,highs,1,60.0,16086,60.556,1,maximal=yes
rgg18,geometric,262011,1046301,cascade-exact,1,60.0,64271,60.272,1,maximal=yes
rgg18,geometric,262011,1046301,vcsolver,1,60.0,64278,2.289,1,exact maximal=yes
rgg18,geometric,262011,1046301,pace,1,60.0,64278,2.173,1,exact maximal=yes
rgg18,geometric,262011,1046301,highs,1,60.0,0,240.826,1,maximal=no
web-Stanford,web,281903,1992636,cascade-exact,1,60.0,163376,60.551,1,maximal=no
web-Stanford,web,281903,1992636,vcsolver,1,60.0,,60.088,0,TIMEOUT
web-Stanford,web,281903,1992636,pace,1,60.0,,60.010,0,TIMEOUT
web-Stanford,web,281903,1992636,highs,1,60.0,,360.159,0,missing solution file
