instance,family,n,m,solver,seed,time_limit,size,seconds,verified,note
as-skitter,social,1696415,11095298,cascade,1,60.0,1170579,62.478,1,maximal=yes
as-skitter,social,1696415,11095298,redumis,1,60.0,1170580,62.436,1,maximal=yes
as-skitter,social,1696415,11095298,online_mis,1,60.0,1152300,3.894,1,maximal=yes
as-skitter,social,1696415,11095298,nearlinear,1,60.0,1170541,0.650,0,kernel=9733
as-skitter,social,1696415,11095298,lineartime,1,60.0,1170410,0.525,0,kernel=235815
ca-AstroPh,social,18772,198050,cascade,1,60.0,6760,0.094,1,maximal=yes
ca-AstroPh,social,18772,198050,redumis,1,60.0,6760,0.152,1,maximal=yes
ca-AstroPh,social,18772,198050,online_mis,1,60.0,6760,60.052,1,maximal=yes
ca-AstroPh,social,18772,198050,nearlinear,1,60.0,6760,0.010,0,kernel=0
ca-AstroPh,social,18772,198050,lineartime,1,60.0,6759,0.008,0,kernel=7843
ca-CondMat,social,23133,93439,cascade,1,60.0,9612,0.054,1,maximal=yes
ca-CondMat,social,23133,93439,redumis,1,60.0,9612,0.080,1,maximal=yes
ca-CondMat,social,23133,93439,online_mis,1,60.0,9601,0.041,1,maximal=yes
ca-CondMat,social,23133,93439,nearlinear,1,60.0,9612,0.006,0,kernel=0
ca-CondMat,social,23133,93439,lineartime,1,60.0,9611,0.006,0,kernel=6233
com-amazon,social,334863,925872,cascade,1,60.0,174632,60.252,1,maximal=yes
com-amazon,social,334863,925872,redumis,1,60.0,174632,7.695,1,maximal=yes
com-amazon,social,334863,925872,online_mis,1,60.0,172685,0.531,1,maximal=yes
com-amazon,social,334863,925872,nearlinear,1,60.0,174627,0.102,0,kernel=952
com-amazon,social,334863,925872,lineartime,1,60.0,174612,0.089,0,kernel=44688
com-dblp,social,317080,1049866,cascade,1,60.0,152131,0.422,1,maximal=yes
com-dblp,social,317080,1049866,redumis,1,60.0,152131,0.548,1,maximal=yes
com-dblp,social,317080,1049866,online_mis,1,60.0,152061,0.391,1,maximal=yes
com-dblp,social,317080,1049866,nearlinear,1,60.0,152131,0.073,0,kernel=0
com-dblp,social,317080,1049866,lineartime,1,60.0,152129,0.071,0,kernel=49462
com-lj,social,3997962,34681189,cascade,1,60.0,2085626,69.275,1,maximal=yes
com-lj,social,3997962,34681189,redumis,1,60.0,2085626,67.103,1,maximal=yes
com-lj,social,3997962,34681189,online_mis,1,60.0,2066610,12.425,1,maximal=yes
com-lj,social,3997962,34681189,nearlinear,1,60.0,2085604,2.353,0,kernel=9780
com-lj,social,3997962,34681189,lineartime,1,60.0,2085353,2.592,0,kernel=319540
com-youtube,social,1134890,2987624,cascade,1,60.0,857945,1.335,1,maximal=yes
com-youtube,social,1134890,2987624,redumis,1,60.0,857945,1.579,1,maximal=yes
com-youtube,social,1134890,2987624,online_mis,1,60.0,857680,1.507,1,maximal=yes
com-youtube,social,1134890,2987624,nearlinear,1,60.0,857945,0.227,0,kernel=0
com-youtube,social,1134890,2987624,lineartime,1,60.0,857944,0.214,0,kernel=1182
del16,geometric,65536,196583,cascade,1,60.0,20650,60.052,1,maximal=yes
del16,geometric,65536,196583,redumis,1,60.0,20640,60.117,1,maximal=yes
del16,geometric,65536,196583,online_mis,1,60.0,20634,60.087,1,maximal=yes
del16,geometric,65536,196583,nearlinear,1,60.0,20284,0.127,0,kernel=61116
del16,geometric,65536,196583,lineartime,1,60.0,20213,0.018,0,kernel=65536
del18,geometric,262144,786401,cascade,1,60.0,82662,60.252,1,maximal=yes
del18,geometric,262144,786401,redumis,1,60.0,82385,60.469,1,maximal=yes
del18,geometric,262144,786401,online_mis,1,60.0,82031,60.317,1,maximal=yes
del18,geometric,262144,786401,nearlinear,1,60.0,81211,0.814,0,kernel=244245
del18,geometric,262144,786401,lineartime,1,60.0,80881,0.081,0,kernel=262144
del20,geometric,1048576,3145692,cascade,1,60.0,330154,60.876,1,maximal=yes
del20,geometric,1048576,3145692,redumis,1,60.0,321566,263.525,1,maximal=yes
del20,geometric,1048576,3145692,online_mis,1,60.0,311006,61.297,1,maximal=yes
del20,geometric,1048576,3145692,nearlinear,1,60.0,324619,4.964,0,kernel=977198
del20,geometric,1048576,3145692,lineartime,1,60.0,323438,0.404,0,kernel=1048573
email-Enron,social,36692,183831,cascade,1,60.0,22255,0.069,1,maximal=yes
email-Enron,social,36692,183831,redumis,1,60.0,22255,0.136,1,maximal=yes
email-Enron,social,36692,183831,online_mis,1,60.0,22227,0.052,1,maximal=yes
email-Enron,social,36692,183831,nearlinear,1,60.0,22255,0.009,0,kernel=0
email-Enron,social,36692,183831,lineartime,1,60.0,22255,0.008,0,kernel=4100
frb30-15-1,bhoslib,450,17827,cascade,1,60.0,30,60.005,1,maximal=yes
frb30-15-1,bhoslib,450,17827,redumis,1,60.0,30,60.575,1,maximal=yes
frb30-15-1,bhoslib,450,17827,online_mis,1,60.0,29,60.006,1,maximal=yes
frb30-15-1,bhoslib,450,17827,nearlinear,1,60.0,24,0.022,0,kernel=450
frb30-15-1,bhoslib,450,17827,lineartime,1,60.0,22,0.002,0,kernel=450
frb35-17-1,bhoslib,595,27856,cascade,1,60.0,34,60.007,1,maximal=yes
frb35-17-1,bhoslib,595,27856,redumis,1,60.0,35,60.296,1,maximal=yes
frb35-17-1,bhoslib,595,27856,online_mis,1,60.0,33,60.007,1,maximal=yes
frb35-17-1,bhoslib,595,27856,nearlinear,1,60.0,27,0.034,0,kernel=595
frb35-17-1,bhoslib,595,27856,lineartime,1,60.0,25,0.003,0,kernel=595
frb40-19-1,bhoslib,760,41314,cascade,1,60.0,40,60.009,1,maximal=yes
frb40-19-1,bhoslib,760,41314,redumis,1,60.0,40,60.520,1,maximal=yes
frb40-19-1,bhoslib,760,41314,online_mis,1,60.0,39,60.012,1,maximal=yes
frb40-19-1,bhoslib,760,41314,nearlinear,1,60.0,27,0.045,0,kernel=760
frb40-19-1,bhoslib,760,41314,lineartime,1,60.0,29,0.002,0,kernel=760
frb45-21-1,bhoslib,945,59186,cascade,1,60.0,43,60.012,1,maximal=yes
