instance,family,n,m,solver,seed,time_limit,size,seconds,verified,note
ca-AstroPh,social,18772,198050,cascade,1,60.0,6760,0.436,1,maximal=yes
ca-AstroPh,social,18772,198050,redumis,1,60.0,6760,0.793,1,maximal=yes
ca-AstroPh,social,18772,198050,online_mis,1,60.0,6760,60.153,1,maximal=yes
ca-AstroPh,social,18772,198050,numvc,1,60.0,6760,60.614,1,maximal=yes
ca-AstroPh,social,18772,198050,fastvc,1,60.0,6760,60.041,1,maximal=yes
ca-AstroPh,social,18772,198050,nearlinear,1,60.0,6760,0.057,0,kernel=0
ca-AstroPh,social,18772,198050,lineartime,1,60.0,6759,0.009,0,kernel=7843
ca-CondMat,social,23133,93439,cascade,1,60.0,9612,0.077,1,maximal=yes
ca-CondMat,social,23133,93439,redumis,1,60.0,9612,0.121,1,maximal=yes
ca-CondMat,social,23133,93439,online_mis,1,60.0,9601,0.051,1,maximal=yes
frb40-19-1,bhoslib,760,41314,cascade,1,60.0,40,60.021,1,maximal=yes
frb40-19-1,bhoslib,760,41314,redumis,1,60.0,40,61.274,1,maximal=yes
frb40-19-1,bhoslib,760,41314,online_mis,1,60.0,39,60.022,1,maximal=yes
frb53-24-1,bhoslib,1272,94227,cascade,1,60.0,50,60.043,1,maximal=yes
frb53-24-1,bhoslib,1272,94227,redumis,1,60.0,51,61.381,1,maximal=yes
frb53-24-1,bhoslib,1272,94227,online_mis,1,60.0,49,60.052,1,maximal=yes
ca-CondMat,social,23133,93439,numvc,1,60.0,9611,60.067,1,maximal=yes
ca-CondMat,social,23133,93439,fastvc,1,60.0,9612,60.020,1,maximal=yes
ca-CondMat,social,23133,93439,nearlinear,1,60.0,9612,0.022,0,kernel=0
ca-CondMat,social,23133,93439,lineartime,1,60.0,9611,0.007,0,kernel=6233
email-Enron,social,36692,183831,cascade,1,60.0,22255,0.141,1,maximal=yes
email-Enron,social,36692,183831,redumis,1,60.0,22255,0.194,1,maximal=yes
email-Enron,social,36692,183831,online_mis,1,60.0,22227,0.076,1,maximal=yes
email-Enron,social,36692,183831,numvc,1,60.0,22255,61.744,1,maximal=yes
email-Enron,social,36692,183831,fastvc,1,60.0,22255,60.041,1,maximal=yes
email-Enron,social,36692,183831,nearlinear,1,60.0,22255,0.026,0,kernel=0
email-Enron,social,36692,183831,lineartime,1,60.0,22255,0.008,0,kernel=4100
frb40-19-1,bhoslib,760,41314,numvc,1,60.0,40,60.037,1,maximal=yes
frb40-19-1,bhoslib,760,41314,fastvc,1,60.0,40,60.017,1,maximal=yes
frb40-19-1,bhoslib,760,41314,nearlinear,1,60.0,27,0.075,0,kernel=760
frb40-19-1,bhoslib,760,41314,lineartime,1,60.0,29,0.003,0,kernel=760
frb45-21-1,bhoslib,945,59186,cascade,1,60.0,43,60.015,1,maximal=yes
frb45-21-1,bhoslib,945,59186,redumis,1,60.0,43,61.046,1,maximal=yes
frb53-24-1,bhoslib,1272,94227,numvc,1,60.0,53,60.103,1,maximal=yes
frb53-24-1,bhoslib,1272,94227,fastvc,1,60.0,50,60.024,1,maximal=yes
frb53-24-1,bhoslib,1272,94227,nearlinear,1,60.0,38,0.191,0,kernel=1272
frb53-24-1,bhoslib,1272,94227,lineartime,1,60.0,40,0.004,0,kernel=1272
frb59-26-1,bhoslib,1534,126555,cascade,1,60.0,56,60.030,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,redumis,1,60.0,57,61.670,1,maximal=yes
frb30-15-1,bhoslib,450,17827,cascade,1,60.0,30,60.005,1,maximal=yes
frb30-15-1,bhoslib,450,17827,redumis,1,60.0,30,60.339,1,maximal=yes
frb30-15-1,bhoslib,450,17827,online_mis,1,60.0,29,60.009,1,maximal=yes
frb30-15-1,bhoslib,450,17827,numvc,1,60.0,30,60.062,1,maximal=yes
frb45-21-1,bhoslib,945,59186,online_mis,1,60.0,42,60.023,1,maximal=yes
frb45-21-1,bhoslib,945,59186,numvc,1,60.0,45,60.052,1,maximal=yes
frb45-21-1,bhoslib,945,59186,fastvc,1,60.0,44,60.023,1,maximal=yes
frb45-21-1,bhoslib,945,59186,nearlinear,1,60.0,33,0.110,0,kernel=945
frb45-21-1,bhoslib,945,59186,lineartime,1,60.0,32,0.003,0,kernel=945
frb50-23-1,bhoslib,1150,80072,cascade,1,60.0,48,60.019,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,online_mis,1,60.0,56,60.046,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,numvc,1,60.0,58,60.166,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,fastvc,1,60.0,57,60.031,1,maximal=yes
frb59-26-1,bhoslib,1534,126555,nearlinear,1,60.0,43,0.266,0,kernel=1534
frb59-26-1,bhoslib,1534,126555,lineartime,1,60.0,43,0.005,0,kernel=1534
com-youtube,social,1134890,2987624,cascade,1,60.0,857945,3.475,1,maximal=yes
com-youtube,social,1134890,2987624,redumis,1,60.0,857945,4.303,1,maximal=yes
com-youtube,social,1134890,2987624,online_mis,1,60.0,857680,2.869,1,maximal=yes
frb30-15-1,bhoslib,450,17827,fastvc,1,60.0,30,60.006,1,maximal=yes
frb30-15-1,bhoslib,450,17827,nearlinear,1,60.0,24,0.019,0,kernel=450
frb30-15-1,bhoslib,450,17827,lineartime,1,60.0,22,0.002,0,kernel=450
frb35-17-1,bhoslib,595,27856,cascade,1,60.0,34,60.006,1,maximal=yes
frb35-17-1,bhoslib,595,27856,redumis,1,60.0,35,61.112,1,maximal=yes
frb35-17-1,bhoslib,595,27856,online_mis,1,60.0,33,60.009,1,maximal=yes
frb50-23-1,bhoslib,1150,80072,redumis,1,60.0,49,61.444,1,maximal=yes
frb50-23-1,bhoslib,1150,80072,online_mis,1,60.0,48,60.049,1,maximal=yes
frb50-23-1,bhoslib,1150,80072,numvc,1,60.0,49,60.153,1,maximal=yes
frb50-23-1,bhoslib,1150,80072,fastvc,1,60.0,48,60.019,1,maximal=yes
frb50-23-1,bhoslib,1150,80072,nearlinear,1,60.0,35,0.192,0,kernel=1150
frb50-23-1,bhoslib,1150,80072,lineartime,1,60.0,33,0.005,0,kernel=1150
com-dblp,social,317080,1049866,cascade,1,60.0,152131,1.443,1,maximal=yes
com-dblp,social,317080,1049866,redumis,1,60.0,152131,1.054,1,maximal=yes
com-dblp,social,317080,1049866,online_mis,1,60.0,152061,0.910,1,maximal=yes
com-youtube,social,1134890,2987624,numvc,1,60.0,857713,196.693,1,maximal=yes
com-youtube,social,1134890,2987624,fastvc,1,60.0,857945,61.725,1,maximal=yes
com-youtube,social,1134890,2987624,nearlinear,1,60.0,857945,0.527,0,kernel=0
com-youtube,social,1134890,2987624,lineartime,1,60.0,857944,0.414,0,kernel=1182
wiki-Talk,social,2394385,4659565,cascade,1,60.0,2338222,6.031,1,maximal=yes
