instance,parameter,flag,value,is_default,size,seconds
web-Stanford,restart_idle_dives,--restart-idle,50,0,163373,60.000
del18,kernel_share,--kernel-share,0.5,0,82656,60.001
del18,kernel_share,--kernel-share,0.1,0,82656,60.001
del18,restart_idle_dives,--restart-idle,200,1,82659,60.000
web-Stanford,lns_start_free,--lns-free,16,0,163374,60.008
del18,lns_slice,--lns-slice,0.01,0,82651,60.019
web-Stanford,restart_idle_dives,--restart-idle,100,0,163375,60.000
del18,restart_idle_dives,--restart-idle,50,0,82592,60.002
web-Stanford,kernel_share,--kernel-share,0.3,1,163375,60.004
web-Stanford,kernel_share,--kernel-share,0.2,0,163375,60.001
del18,restart_idle_dives,--restart-idle,100,0,82639,60.036
web-Stanford,kernel_share,--kernel-share,0.5,0,163375,60.008
del18,lns_slice,--lns-slice,0.2,0,82656,60.000
web-Stanford,kernel_share,--kernel-share,0.7,0,163375,60.010
