instance,family,n,m,solver,seed,time_limit,size,seconds,verified,note
del16,geometric,65536,196583,cascade,1,60.0,20648,60.071,1,maximal=yes
del16,geometric,65536,196583,cascade,2,60.0,20646,60.055,1,maximal=yes
del16,geometric,65536,196583,cascade,3,60.0,20644,60.086,1,maximal=yes
del16,geometric,65536,196583,redumis,1,60.0,20640,60.132,1,maximal=yes
del16,geometric,65536,196583,redumis,2,60.0,20640,60.125,1,maximal=yes
del16,geometric,65536,196583,redumis,3,60.0,20640,60.109,1,maximal=yes
del16,geometric,65536,196583,online_mis,1,60.0,20634,60.072,1,maximal=yes
del16,geometric,65536,196583,online_mis,2,60.0,20636,60.084,1,maximal=yes
del16,geometric,65536,196583,online_mis,3,60.0,20634,60.085,1,maximal=yes
del18,geometric,262144,786401,cascade,1,60.0,82662,60.190,1,maximal=yes
del18,geometric,262144,786401,cascade,2,60.0,82659,60.222,1,maximal=yes
del18,geometric,262144,786401,cascade,3,60.0,82657,60.250,1,maximal=yes
del18,geometric,262144,786401,redumis,1,60.0,82391,60.340,1,maximal=yes
del18,geometric,262144,786401,redumis,2,60.0,82356,60.431,1,maximal=yes
del18,geometric,262144,786401,redumis,3,60.0,82402,60.379,1,maximal=yes
del18,geometric,262144,786401,online_mis,1,60.0,82031,60.317,1,maximal=yes
del18,geometric,262144,786401,online_mis,2,60.0,82084,60.317,1,maximal=yes
del18,geometric,262144,786401,online_mis,3,60.0,82099,60.362,1,maximal=yes
rgg18,geometric,262011,1046301,cascade,1,60.0,64278,60.279,1,maximal=yes
rgg18,geometric,262011,1046301,cascade,2,60.0,64278,60.288,1,maximal=yes
rgg18,geometric,262011,1046301,cascade,3,60.0,64278,60.277,1,maximal=yes
rgg18,geometric,262011,1046301,redumis,1,60.0,64278,9.441,1,maximal=yes
rgg18,geometric,262011,1046301,redumis,2,60.0,64278,9.607,1,maximal=yes
rgg18,geometric,262011,1046301,redumis,3,60.0,64278,9.657,1,maximal=yes
rgg18,geometric,262011,1046301,online_mis,1,60.0,63942,60.369,1,maximal=yes
rgg18,geometric,262011,1046301,online_mis,2,60.0,63956,60.358,1,maximal=yes
rgg18,geometric,262011,1046301,online_mis,3,60.0,63948,60.370,1,maximal=yes
web-Stanford,web,281903,1992636,cascade,1,60.0,163375,60.662,1,maximal=yes
web-Stanford,web,281903,1992636,cascade,2,60.0,163374,60.637,1,maximal=yes
web-Stanford,web,281903,1992636,cascade,3,60.0,163371,60.568,1,maximal=yes
web-Stanford,web,281903,1992636,redumis,1,60.0,163390,25.584,1,maximal=yes
web-Stanford,web,281903,1992636,redumis,2,60.0,163390,22.957,1,maximal=yes
web-Stanford,web,281903,1992636,redumis,3,60.0,163390,21.801,1,maximal=yes
web-Stanford,web,281903,1992636,online_mis,1,60.0,162585,60.536,1,maximal=yes
web-Stanford,web,281903,1992636,online_mis,2,60.0,162572,60.585,1,maximal=yes
web-Stanford,web,281903,1992636,online_mis,3,60.0,162584,60.531,1,maximal=yes
roadNet-PA,road,1088092,1541898,cascade,1,60.0,533627,60.711,1,maximal=yes
roadNet-PA,road,1088092,1541898,cascade,2,60.0,533628,60.616,1,maximal=yes
roadNet-PA,road,1088092,1541898,cascade,3,60.0,533628,60.679,1,maximal=yes
roadNet-PA,road,1088092,1541898,redumis,1,60.0,533628,31.023,1,maximal=yes
roadNet-PA,road,1088092,1541898,redumis,2,60.0,533628,43.871,1,maximal=yes
roadNet-PA,road,1088092,1541898,redumis,3,60.0,533627,27.956,1,maximal=yes
roadNet-PA,road,1088092,1541898,online_mis,1,60.0,516485,60.988,1,maximal=yes
roadNet-PA,road,1088092,1541898,online_mis,2,60.0,516666,60.924,1,maximal=yes
roadNet-PA,road,1088092,1541898,online_mis,3,60.0,516477,60.946,1,maximal=yes
frb30-15-1,bhoslib,450,17827,cascade,1,60.0,30,60.007,1,maximal=yes
frb30-15-1,bhoslib,450,17827,cascade,2,60.0,30,60.005,1,maximal=yes
frb30-15-1,bhoslib,450,17827,cascade,3,60.0,30,60.005,1,maximal=yes
frb30-15-1,bhoslib,450,17827,redumis,1,60.0,30,60.277,1,maximal=yes
frb30-15-1,bhoslib,450,17827,redumis,2,60.0,30,60.428,1,maximal=yes
frb30-15-1,bhoslib,450,17827,redumis,3,60.0,30,60.258,1,maximal=yes
frb30-15-1,bhoslib,450,17827,online_mis,1,60.0,29,60.006,1,maximal=yes
frb30-15-1,bhoslib,450,17827,online_mis,2,60.0,29,60.006,1,maximal=yes
frb30-15-1,bhoslib,450,17827,online_mis,3,60.0,29,60.006,1,maximal=yes
frb35-17-1,bhoslib,595,27856,cascade,1,60.0,34,60.007,1,maximal=yes
frb35-17-1,bhoslib,595,27856,cascade,2,60.0,34,60.006,1,maximal=yes
frb35-17-1,bhoslib,595,27856,cascade,3,60.0,35,60.007,1,maximal=yes
frb35-17-1,bhoslib,595,27856,redumis,1,60.0,35,60.519,1,maximal=yes
frb35-17-1,bhoslib,595,27856,redumis,2,60.0,35,60.406,1,maximal=yes
frb35-17-1,bhoslib,595,27856,redumis,3,60.0,34,60.380,1,maximal=yes
frb35-17-1,bhoslib,595,27856,online_mis,1,60.0,33,60.008,1,maximal=yes
frb35-17-1,bhoslib,595,27856,online_mis,2,60.0,33,60.008,1,maximal=yes
